"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "PostCSS", "TypeScript JSX", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\links\components\LinkCreateModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 651, 0, 0, 12, 118, 781
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\links\components\LinksHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 22, 123
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\links\components\LinksInsights.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 9, 55
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\links\components\LinksList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 8, 52
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\links\components\LinksStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 11, 92
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\links\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 21, 103
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\links\types\link.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 13, 43
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\profile\components\ProfileHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 0, 6, 14, 120
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\profile\components\ProfileSettings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 2, 20, 137
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\profile\components\ProfileStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 9, 56
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\profile\components\ProfileTabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 2, 13, 96
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\src\app\(app)\profile\components\streak\StreakHeatmap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 193, 0, 0, 9, 40, 242
