"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\auth\auth.module.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\auth\auth.service.spec.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\auth\auth.service.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\auth\supabase.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\goals\dto\goals.dto.ts", "TypeScript", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 16, 92
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\goals\goals.controller.spec.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\goals\goals.controller.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 10, 82
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\goals\goals.module.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\goals\goals.service.spec.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\goals\goals.service.ts", "TypeScript", 0, 0, 196, 0, 0, 0, 0, 0, 0, 26, 39, 261
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak-events\streak-events.controller.spec.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak-events\streak-events.controller.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak-events\streak-events.listener.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak-events\streak-events.module.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak-events\streak-events.service.spec.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak-events\streak-events.service.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak-events\streak-events.types.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\dto\streak.dto.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\streak.controller.spec.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\streak.controller.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 4, 35
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\streak.module.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\streak.service.spec.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\streak\streak.service.ts", "TypeScript", 0, 0, 180, 0, 0, 0, 0, 0, 0, 27, 38, 245
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\tasks\dto\task.dto.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 13, 52
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\tasks\tasks.controller.spec.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\tasks\tasks.controller.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 6, 10, 72
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\tasks\tasks.module.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\tasks\tasks.service.spec.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\tasks\tasks.service.ts", "TypeScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 28, 33, 195
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\user\dto\user.dto.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\user\user.controller.spec.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\user\user.controller.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\user\user.module.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\user\user.service.spec.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\modules\user\user.service.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 13, 53
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\prisma.service.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\src\supabase.provider.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\test\app.e2e-spec.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\tsconfig.build.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\api\tsconfig.json", "JSON with Comments", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\biome.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\next.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Users\apglu\Desktop\projetos 2026\Novely Peak\novely\web\package-lock.json", "JSON", 4267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4268
